1,1,Music and Visual Arts
1,1,Describe and respond to works of visual art
1,1,Perform and describe movement activities
1,1,Imitate simple movement patterns; learn simple dances
1,1,Create and demonstrate improvised movements
1,1,"Read, write, and perform simple patterns of sounds and rhythms"
1,1,Describe musical forms
1,1,Read and write patterns with musical notes
1,1,Identify some musical instruments by sight and sound
1,1,Sing age-appropriate songs with accuracy
1,1,Play accompaniments on classroom instruments
1,1,Improvise simple rhythms
1,1,Dramatize or improvise simple stories
1,1,Act out events or stories using language and props
1,1,Describe patterns in nature and works of art
1,1,Create and share original works of visual art in various media and dimensions
1,1,Create two- and three-dimensional works of art
1,1,Mix colors; draw or paint a still life
1,1,Use visual and actual texture in original works of art
1,1,"Express observations, ideas, or feelings through music, drama, or visual art"
1,1,"Identify and discuss some well-known works of dance, drama, music, and visual arts and some artists, actors, writers, musicians, choreographers, or composers"
1,1,"Learn and use vocabulary of dance, music, drama, and visual arts"
1,1,"Observe and respond to dance, music, and drama productions"
1,1,Demonstrate appropriate audience skills for live performances
1,2,Health Education
1,2,Define and give examples of health choices and their consequences
1,2,Practice good personal hygiene
1,2,Take measures to prevent spread of disease
1,2,Identify and make healthy food choices
1,2,"Discuss how food choices are influenced by peers, media, family, and community"
1,2,Understand reasons to get enough sleep and relaxation
1,2,Name objects that may be dangerous
1,2,Recognize and discuss symptoms of common illnesses and diseases
1,2,Explain causes and symptoms of common illnesses and diseases
1,2,Know the basic structures and functions of the human body
1,2,Identify in simple terms ways body defends against germs
1,2,Identify health services in own community
1,2,Distinguish between helpful and harmful situations
1,2,Recognize and follow practices for responding to emergencies
1,2,"Know how to use a telephone in an emergency; provide name, address, telephone number"
1,2,Know how to get out of house or school in event of fire
1,2,"Show appropriate behavior during fire, earthquake, and other disaster drills"
1,2,"Display appropriate skills to identify, avoid, report, and cope with potentially dangerous situations"
1,2,Identify safe behaviors around strangers
1,2,"Identify ways to get help if feeling unsafe, threatened, or abused"
1,2,Explain and practice refusal skills to avoid unsafe behavior situations
1,2,Show development of self confidence and self esteem
1,2,Demonstrate respect and consideration for all individuals
1,2,Develop and display effective communication skills in social interactions
1,2,"Identify, express, and manage feelings appropriately"
1,2,"Show positive social and practices with peers, in home, and community"
1,2,Show understanding of and respect for individual differences
1,2,Identify and discuss bullying behaviors and alternative behaviors to bullying
1,2,Describe appropriate responses to bullying of self or others
1,2,Describe how to get help in solving conflicts with peers
1,2,Explain and practice skills for meeting people and making friends
1,2,"Health consequences of alcohol, drug and tobacco misuse"
1,2,Fire and arson prevention and safety
1,2,Highway safety and traffic regulations
1,3,Physical Education
1,3,Identify types of play and exercise that are good for the body
1,3,Participate regularly in active play and other physical activities (contingent on any physical or other limitations)
1,3,"Follow safety rules during play and daily activities (walking, being near streets, water play, riding in a car, biking, etc.)"
1,3,"Discuss and practice ways to prevent common childhood injuries, including poisoning"
1,3,Bicycle safety
1,4,Writing
1,4,"Write short pieces that present an opinion, supply reasons, and give a conclusion"
1,4,"Write short informative or explanatory pieces that name a topic, give relevant facts, and include a conclusion"
1,4,"Write stories (true or fictitious) that include details, put events in order, and provide a conclusion"
1,4,"With adult guidance, make improvements and needed changes to written work"
1,4,"With adult help, use tools, including digital tools, to produce and publish writing"
1,4,"Take part in shared research and writing projects, gathering information for a specific purpose"
1,4,Create written and visual works to summarize and share information gained during research
1,5,Reading
1,5,Know that a final e teams up with a common vowel to make long vowel sounds
1,5,Know sounds for two letters that represent one sound
1,5,Break words into syllables to help with reading
1,5,Read words with inflectional endings
1,5,Use phonics and word analysis skills to read unknown words
1,5,"Know and use various text features (table of contents, index, glossary, headings)"
1,5,Explain major differences between texts that tell stories and those that give information
1,5,"Retell stories, relating central ideas and key details"
1,5,"Describe main ideas, arguments, or points in informational text"
1,5,Ask and answer questions about key details in a story or other text
1,5,"Describe characters, settings, and events in a story"
1,5,"Describe connections between ideas, events, information, or people in a text"
1,5,Connect information to past knowledge about the topic
1,5,Make predictions about what will happen next in a story
1,5,Identify who is telling a story at various points in the story
1,5,Ask and answer questions to learn or clarify meaning of words and phrases used in the text
1,5,Identify words and phrases in stories or poems that appeal to senses
1,5,Describe how illustrations connect to a story or informational text
1,5,Identify author’s purpose and discuss ways the text accomplishes the purpose
1,5,"Compare and contrast adventures, experiences, settings, characters, within a story or in different stories"
1,5,Identify similarities and differences between two texts on the same topic
1,5,Use texts to find information and answer questions following a step-by-step inquiry process
1,5,"Take part in shared research and writing projects, gathering information for a specific purpose"
1,5,"Demonstrate the ability to discuss, clarify, summarize, and evaluate information gained during research"
1,5,"Read grade-level texts with accuracy, fluency, and sufficient understanding"
1,5,Determine or clarify meanings of unknown words and phrases and multiple-meaning words from grade-level content
1,5,Use clues within the sentence to decide the meaning of a word or phrase
1,5,"Use knowledge of prefixes, suffixes, and roots to decode words"
1,5,Create new words from base words
1,5,"With help, show understanding of figurative language"
1,5,Sort words into categories
1,5,Identify real-life connections between words and their use
1,5,Distinguish shades of meaning among words with similar meanings
1,5,Choose the right word for a particular context
1,5,"Use words and phrases gained through reading, conversing, listening,"
1,5,Show understanding of features of sentences and paragraphs
1,5,"Identify, understand, and use compound words"
1,6,English Language
1,6,Identify number and separation of syllables
1,6,Express ideas and feelings clearly
1,6,Speak in complete sentences when appropriate
1,6,Participate in conversations with diverse partners and groups
1,6,Follow agreed-upon rules for discussions
1,6,Listen to others with focus and care
1,6,Build on others’ ideas in conversation; respond to comments
1,6,"Describe people, places, things, and events with relevant details"
1,6,Give and follow simple two-step directions
1,6,Ask questions during reading and instruction for clarification and to gain more information
1,6,Ask and answer questions to clarify oral presentations to which the student is listening
1,6,"Add drawings or other visual approaches to speaking to clarify ideas, feelings, and thoughts"
1,6,Write all upper and lowercase letters
1,6,"Use and identify common, proper, and possessive nouns"
1,6,Use correct singular and plural nouns to match verbs
1,6,"Use pronouns correctly (I, me, you, my, they, them, there, anyone)"
1,6,"Use verbs to communicate past, present, and future"
1,6,Correctly use frequently occurring adjectives and adverbs
1,6,Correctly use frequently occurring prepositions
1,6,"Produce simple and compound declarative, interrogative, imperative, and exclamatory sentences"
1,6,Write complete simple sentences
1,6,Capitalize names and dates
1,6,Use correct end punctuation for sentences
1,6,Use commas in dates and series
1,6,Create new words with two- or three-letter initial sounds
1,7,Spelling
1,7,Recognize and read many grade-appropriate words with regular and irregular spellings
1,7,Read regularly spelled one-syllable words (words that follow general spelling rules)
1,7,Use correct spelling for grade-level words
1,7,Spell new words phonetically
1,8,Arithmetic
