1,1,"Arts Guide"
1,1,"Perform and describe movement activities"
1,1,"Imitate simple movement patterns; learn simple dances"
1,1,"Create and demonstrate improvised movements"
1,1,"Read, write, and perform simple patterns of sounds and rhythms"
1,1,"Describe musical forms"
1,1,"Read and write patterns with musical notes"
1,1,"Identify some musical instruments by sight and sound"
1,1,"Sing age-appropriate songs with accuracy"
1,1,"Play accompaniments on classroom instruments"
1,1,"Improvise simple rhythms"
1,1,"Dramatize or improvise simple stories"
1,1,"Act out events or stories using language and props"
1,1,"Describe patterns in nature and works of art"
1,1,"Create and share original works of visual art in various media and dimensions"
1,1,"Create two- and three-dimensional works of art"
1,1,"Mix colors; draw or paint a still life"
1,1,"Use visual and actual texture in original works of art"
1,1,"Express observations, ideas, or feelings through music, drama, or visual art"
1,1,"Identify and discuss some well-known works of dance, drama, music, and visual arts and some artists, actors, writers, musicians, choreographers, or composers"
1,1,"Learn and use vocabulary of dance, music, drama, and visual arts"
1,1,"Describe and respond to works of visual art"
1,1,"Observe and respond to dance, music, and drama productions"
1,1,"Demonstrate appropriate audience skills for live performances"
1,2,"Health and Safety Guide"
1,2,"Define and give examples of health choices and their consequences"
1,2,"Practice good personal hygiene"
1,2,"Take measures to prevent spread of disease"
1,2,"Identify and make healthy food choices"
1,2,"Discuss how food choices are influenced by peers, media, family, and community"
1,2,"Identify types of play and exercise that are good for the body"
1,2,"Participate regularly in active play and other physical activities (contingent on any physical or other limitations)"
1,2,"Understand reasons to get enough sleep and relaxation"
1,2,"Follow safety rules during play and daily activities (walking, being near streets, water play, riding in a car, biking, etc.)"
1,2,"Discuss and practice ways to prevent common childhood injuries, including poisoning"
1,2,"Name objects that may be dangerous"
1,2,"Recognize and discuss symptoms of common illnesses and diseases"
1,2,"Explain causes and symptoms of common illnesses and diseases"
1,2,"Know the basic structures and functions of the human body"
1,2,"Identify in simple terms ways body defends against germs"
1,2,"Identify health services in own community"
1,2,"Distinguish between helpful and harmful situations"
1,2,"Recognize and follow practices for responding to emergencies"
1,2,"Know how to use a telephone in an emergency; provide name, address, telephone number"
1,2,"Know how to get out of house or school in event of fire"
1,2,"Show appropriate behavior during fire, earthquake, and other disaster drills"
1,2,"Display appropriate skills to identify, avoid, report, and cope with potentially dangerous situations"
1,2,"Identify safe behaviors around strangers"
1,2,"Identify ways to get help if feeling unsafe, threatened, or abused"
1,2,"Explain and practice refusal skills to avoid unsafe behavior situations"
1,2,"Show development of self confidence and self esteem"
1,2,"Demonstrate respect and consideration for all individuals"
1,2,"Develop and display effective communication skills in social interactions"
1,2,"Identify, express, and manage feelings appropriately"
1,2,"Show positive social and practices with peers, in home, and community"
1,2,"Show understanding of and respect for individual differences"
1,2,"Identify and discuss bullying behaviors and alternative behaviors to bullying"
1,2,"Describe appropriate responses to bullying of self or others"
1,2,"Describe how to get help in solving conflicts with peers"
1,2,"Explain and practice skills for meeting people and making friends"
